PI;Difference;Error;Ntot;AvailableProcessors;TimeDuration(ms);
3.141858;0.000265;0.000084;100000000;1;2768;
3.141596;0.000003;0.000001;100000000;1;2791;
3.141549;-0.000044;0.000014;100000000;1;2798;
3.141479;-0.000114;0.000036;100000000;1;2795;
3.141518;-0.000074;0.000024;100000000;1;2762;
3.141706;0.000113;0.000036;100000000;1;2782;
3.141639;0.000047;0.000015;100000000;1;2748;
3.141490;-0.000103;0.000033;200000000;2;2845;
3.141436;-0.000157;0.000050;200000000;2;2819;
3.141622;0.000029;0.000009;200000000;2;2843;
3.141426;-0.000167;0.000053;200000000;2;2821;
3.141594;0.000002;0.000001;200000000;2;2842;
3.141726;0.000133;0.000042;400000000;4;2874;
3.141627;0.000035;0.000011;400000000;4;2864;
3.141582;-0.000011;0.000003;400000000;4;2860;
3.141637;0.000044;0.000014;400000000;4;2859;
3.141504;-0.000089;0.000028;400000000;4;2862;
3.141519;-0.000073;0.000023;800000000;8;2948;
3.141622;0.000029;0.000009;800000000;8;2930;
3.141526;-0.000066;0.000021;800000000;8;2924;
3.141542;-0.000051;0.000016;800000000;8;2920;
3.141617;0.000024;0.000008;800000000;8;2908;
3.141633;0.000040;0.000013;1600000000;16;3174;
3.141545;-0.000048;0.000015;1600000000;16;3176;
3.141626;0.000033;0.000011;1600000000;16;3209;
3.141649;0.000056;0.000018;1600000000;16;3207;
3.141593;0.000000;0.000000;1600000000;16;3236;
3.141560;-0.000033;0.000010;3200000000;32;4209;
3.141554;-0.000039;0.000012;3200000000;32;4225;
3.141601;0.000008;0.000003;3200000000;32;4217;
3.141609;0.000016;0.000005;3200000000;32;4214;
3.141582;-0.000011;0.000003;3200000000;32;4270;
3.141594;0.000001;0.000000;6400000000;64;9261;
3.141583;-0.000010;0.000003;6400000000;64;7876;
3.141575;-0.000018;0.000006;6400000000;64;7648;
3.141626;0.000033;0.000011;6400000000;64;7751;
3.141597;0.000004;0.000001;6400000000;64;7864;
